Test_16;0.0;0;0
Test_16;0.1;0;0
Test_16;0.2;0;0
Test_16;0.3;0;0
Test_16;0.4;0;0
Test_16;0.5;0;0
Test_16;0.6;0;0
Test_16;0.7;0;0
Test_16;0.8;0;0
Test_16;0.9;0;0
Test_16;1.0;0;0
Test_16;1.1;0;0
Test_16;1.2;0;0
Test_16;1.3;0;0
Test_16;1.4;0;0
Test_16;1.5;0;0
Test_16;1.6;0;0
Test_16;1.7;0;0
Test_16;1.8;0;0
Test_16;1.9;0;0
Test_16;2.0;0;0
Test_16;2.1;0;0
Test_16;2.2;0;0
Test_16;2.3;0;0
Test_16;2.4;0;0
Test_16;2.5;0;0
Test_16;2.6;0;0
Test_16;2.7;0;0
Test_16;2.8;0;0
Test_16;2.9;0;0
Test_16;3.0;0;0
Test_16;3.1;0;0
Test_16;3.2;0;0
Test_16;3.3;0;0
Test_16;3.4;0;0
Test_16;3.5;0;0
Test_16;3.6;0;0
Test_16;3.7;0;0
Test_16;3.8;0;0
Test_16;3.9;0;0
Test_16;4.0;0;0
Test_16;4.1;0;0
Test_16;4.2;0;0
Test_16;4.3;0;0
Test_16;4.4;0;0
Test_16;4.5;0;0
Test_16;4.6;0;0
Test_16;4.7;0;0
Test_16;4.8;0;0
Test_16;4.9;0;0
Test_16;5.0;0;0
Test_16;5.1;0;0
Test_16;5.2;0;0
Test_16;5.3;0;0
Test_16;5.4;0;0
Test_16;5.5;0;0
Test_16;5.6;0;0
Test_16;5.7;0;0
Test_16;5.8;0;0
Test_16;5.9;0;0
Test_16;6.0;0;0
Test_16;6.1;0;0
Test_16;6.2;0;0
Test_16;6.3;0;0
Test_16;6.4;0;0
Test_16;6.5;0;0
Test_16;6.6;0;0
Test_16;6.7;0;0
Test_16;6.8;0;0
Test_16;6.9;0;0
Test_16;7.0;0;0
Test_16;7.1;0;0
Test_16;7.2;0;0
Test_16;7.3;0;0
Test_16;7.4;0;0
Test_16;7.5;0;0
Test_16;7.6;0;0
Test_16;7.7;0;0
Test_16;7.8;0;0
Test_16;7.9;0;0
Test_16;8.0;0;0
Test_16;8.1;0;0
Test_16;8.2;0;0
Test_16;8.3;0;0
Test_16;8.4;0;0
Test_16;8.5;0;0
Test_16;8.6;0;0
Test_16;8.7;0;0
Test_16;8.8;0;0
Test_16;8.9;0;0
Test_16;9.0;0;0
Test_16;9.1;0;0
Test_16;9.2;0;0
Test_16;9.3;0;0
Test_16;9.4;0;0
Test_16;9.5;0;0
Test_16;9.6;0;0
Test_16;9.7;0;0
Test_16;9.8;0;0
Test_16;9.9;0;0
Test_16;10.0;0;1
Test_16;10.1;0;1
Test_16;10.2;0;1
Test_16;10.3;0;1
Test_16;10.4;0;1
Test_16;10.5;0;1
Test_16;10.6;0;1
Test_16;10.7;0;1
Test_16;10.8;0;1
Test_16;10.9;0;1
Test_16;11.0;0;1
Test_16;11.1;0;1
Test_16;11.2;0;0
Test_16;11.3;0;0
Test_16;11.4;0;0
Test_16;11.5;0;0
Test_16;11.6;0;0
Test_16;11.7;0;0
Test_16;11.8;0;1
Test_16;11.9;0;1
Test_16;12.0;0;1
Test_16;12.1;0;1
Test_16;12.2;0;1
Test_16;12.3;0;1
Test_16;12.4;0;1
Test_16;12.5;0;1
Test_16;12.6;0;0
Test_16;12.7;0;0
Test_16;12.8;0;0
Test_16;12.9;0;0
Test_16;13.0;0;0
Test_16;13.1;0;0
Test_16;13.2;0;0
Test_16;13.3;0;0
Test_16;13.4;0;0
Test_16;13.5;0;1
Test_16;13.6;0;1
Test_16;13.7;0;1
Test_16;13.8;0;1
Test_16;13.9;0;1
Test_16;14.0;0;1
Test_16;14.1;0;1
Test_16;14.2;0;1
Test_16;14.3;0;1
Test_16;14.4;0;1
Test_16;14.5;0;1
Test_16;14.6;0;1
Test_16;14.7;0;1
Test_16;14.8;0;1
Test_16;14.9;0;1
Test_16;15.0;0;1
Test_16;15.1;0;1
Test_16;15.2;0;1
Test_16;15.3;0;1
Test_16;15.4;0;1
Test_16;15.5;0;1
Test_16;15.6;0;1
Test_16;15.7;0;1
Test_16;15.8;0;1
Test_16;15.9;0;1
Test_16;16.0;0;1
Test_16;16.1;0;1
Test_16;16.2;0;1
Test_16;16.3;0;1
Test_16;16.4;0;1
Test_16;16.5;0;1
